AoA,AoS,dPb,pBar,temp,NONE1,NONE2,NONE3,NONE4,NONE5,NONE6,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,J_M1,J_M2,B16zeroed1,B16zeroed2,B16zeroed3,B16zeroed4,B16zeroed5,B16zeroed6,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,rudder
4,-10,422.96,101974,286.69,69.1,5293.3,2954.8,-230.5,-514.8,-2528.9,69.1,5293.3,2954.8,-230.5,-514.8,-2528.9,0,1.23913709789933,991.380573576427,40.00143030964,458836.427525691,78.53,123.03,0,16.73,0,101974,1.43829500001047e-05,2.5067799901462,1.6000766693179,55,5261.9,2952.9,-232.4,-509.8,-2507.7,0.479078018384788,53.0103767233228,154.286675797825,4.33656432724601,-7.14656684918897,16.372005090289,0.0022251875485695,0.24621883222155,0.716619792018411,0.0144223936117537,-0.201199777951047,0.0544494405726335,0.715029363459047,-0.0477691026029141,-0.24621883222155,0.716619792018411,0.0449468334722892,-0.242091815146618,0.0798175202861009,-0.201826953666656,-0.201826953666656,0.0598845932301765,0
4,-4.995,422.62,101975,286.87,498.8,2219.5,1951.8,533.9,-133.1,-1016.2,498.8,2219.5,1951.8,533.9,-133.1,-1016.2,0,1.23837173043678,990.577409044745,39.9975778892909,458285.027838076,80.45,123.03,0,16.85,0,101975,1.43988684412245e-05,2.4467181338051,1.59992257063009,502.85,2204.1,1951.85,532.35,-131.75,-1004.7,4.60687661675421,22.765927539434,149.179502880508,1.0460252328528,-6.56360404319168,6.56864973452225,0.0214150426048757,0.105827298787087,0.69346016308357,0.00348165470269479,-0.184937250114255,0.021863497667434,0.693264766836681,-0.0270104590213294,-0.105827298787087,0.69346016308357,0.0305479714613863,-0.103560816228603,0.0317031324858039,-0.190973143438913,-0.190973143438913,0.0240217380148242,0
4,0,422.57,101970,286.94,593.5,-610.9,1157.4,1282.8,-58.3,502.7,593.5,-610.9,1157.4,1282.8,-58.3,502.7,0,1.23800892082737,990.459297515964,40.0010533075819,458103.620997921,80.1,123.03,0,16.83,0,101970,1.44058219476428e-05,2.45762268790377,1.6000615890522,599.4,-597,1159.2,1284,-64.9,493.2,5.50079007405081,-3.45008208520116,148.390954753992,-1.56421104885423,-6.62651719567747,-3.21288320729301,0.0255734440310872,-0.0160396015701023,0.689876858603013,-0.0052070370959522,-0.186732167066489,-0.0106952332663747,0.689980266525647,-0.0226122285670764,0.0160396015701023,0.689876858603013,0.0255734440310872,0.0160396015701023,-0.00895808810552081,-0.193940118176546,-0.193940118176546,-0.0112940648534087,0
4,0,422.56,101970,287.05,-580.8,-233,1399.7,1498.9,-1068.7,109.4,-580.8,-233,1399.7,1498.9,-1068.7,109.4,0,1.23753450528551,990.435675237972,40.0082427796288,457873.854345435,123.03,123.03,17.59,17,0,101970,1.44156414512482e-05,1.60034917143108,1.60034917143108,-574.9,-219.1,1401.5,1500.1,-1075.3,99.9,-5.3022852827782,-2.27203633113935,151.669852412577,-0.715652745028725,-8.34363763091997,-0.65151770524993,-0.0246511734039285,-0.0105630607543612,0.705137432743278,-0.0023823634737369,-0.235125428569559,-0.0021688619155901,0.701700174466886,-0.0737790251976365,0.0105630607543612,0.705137432743278,-0.0246511734039285,0.0105630607543612,-0.00519524564211902,-0.228177422173351,-0.228177422173351,-0.0025259806931991,0
4,5,422.19,101968,287.14,-687,-2924.9,714.5,2232.3,-1176.4,1592.9,-687,-2924.9,714.5,2232.3,-1176.4,1592.9,0,1.23712235256296,989.56165745845,39.9972470532213,457484.011291844,123.03,123.03,17.64,17.04,0,101968,1.4423960357818e-05,1.59990933702639,1.59990933702639,-690.4,-2918,714.6,2233.1,-1178.7,1582.8,-6.35981208051037,-27.0443405926361,152.032407415284,-3.80515898109653,-8.56127998300228,-10.343429187673,-0.0295939002130228,-0.125844522871696,0.707447301466885,-0.0126783256511392,-0.241471723549019,-0.0344630445777135,0.703659629273493,-0.0788708400696152,0.125844522871696,0.707447301466885,-0.0185132136264622,0.127944924822535,-0.0456266714493637,-0.233130594930125,-0.233130594930125,-0.0375618500422181,0
4,5,422.08,101966,287.22,496.8,-3359.7,457.9,2030,-161.8,2027.4,496.8,-3359.7,457.9,2030,-161.8,2027.4,0,1.23675351607705,989.301816778092,39.9979583914715,457256.680107587,77.53,123.03,0,17.08,0,101966,1.44313880728474e-05,2.53889264045817,1.5999377909024,493.4,-3352.8,458,2030.8,-164.1,2017.3,4.53068515890048,-28.6222494923216,148.827532901366,-4.61541123950969,-6.88872212979171,-13.1766964754528,0.0210880225937882,-0.133221935051784,0.692716060888993,-0.0153820263955685,-0.194348101018111,-0.0439146768237583,0.692499665474834,-0.0272847764829069,0.133221935051784,0.692716060888993,0.0326188330008893,0.130877043095869,-0.0497387539182743,-0.200291822781947,-0.200291822781947,-0.0472773029599251,0
4,10,422.31,101969,287.28,168.2,-6018.1,-215.8,3007.1,-573.7,3313.3,168.2,-6018.1,-215.8,3007.1,-573.7,3313.3,0,1.2365315929705,989.845121296012,40.0125300043844,457266.903089697,72.28,123.03,0,17.01,0,101969,1.44363228003576e-05,2.72429520072207,1.60052066250663,164.2,-6001.8,-213.9,3009.6,-582.3,3293.9,1.50767735185894,-55.139904127284,157.466820560248,-5.7845211625748,-9.12043535212654,-21.5472962083161,0.00701361536828612,-0.256507188700627,0.732525239113517,-0.0192677997013607,-0.257169087298667,-0.0717724035887048,0.731230089523916,-0.0441018470553791,0.256507188700627,0.732525239113517,0.051449068667665,0.251392366608183,-0.0863354744315113,-0.2591458956088,-0.2591458956088,-0.0776200278761994,0
4,10,421.76,101960,287.51,-997,-5420.5,44.7,3135.6,-1504.5,2754.9,-997,-5420.5,44.7,3135.6,-1504.5,2754.9,0,1.23543335051239,988.545922984392,40.0040316325845,456479.607927844,123.02,123.03,17.56,16.89,0,101960,1.4458149818783e-05,1.60031079834438,1.60018072350098,-1001,-5404.2,46.6,3138.1,-1513.1,2735.5,-9.21159300444503,-52.491625058062,158.439171168506,-5.11265385306438,-9.88212773911229,-17.9021657456919,-0.042908039632836,-0.244508493514254,0.738017217283855,-0.017052242359,-0.279012753606053,-0.0597091212939352,0.733226330895108,-0.0942849964450146,0.244508493514254,0.738017217283855,0.000202284225864595,0.248244762979674,-0.0815931763161472,-0.266918995271199,-0.266918995271199,-0.0652553251368302,0
4,10,421.72,101958,287.54,386.1,-5463,-248.3,2885.5,-311.9,2781.1,386.1,-5463,-248.3,2885.5,-311.9,2781.1,0,1.2352802225031,988.451436926529,40.0045990750905,456392.480226752,98.44,98.43,6.39,5.45,0,101958,1.44611150775728e-05,1.9999291644082,2.00013234729598,382.1,-5446.7,-246.4,2888,-320.5,2761.7,3.51321961759777,-52.840959835906,154.445894560275,-4.82027678083237,-7.83840375746857,-18.0809202414473,0.0163663088746213,-0.246159239682609,0.719485113349964,-0.0160786134621256,-0.221331248763822,-0.0603110860267971,0.71887413977034,-0.0338623030499153,0.246159239682609,0.719485113349964,0.0588627712546818,0.239577548003812,-0.0810440625319738,-0.225944141500404,-0.225944141500404,-0.0658175192725893,0
4,10,421.63,101958,287.57,877.6,-5709.4,-362.7,2813.7,99.8,3019.3,877.6,-5709.4,-362.7,2813.7,99.8,3019.3,0,1.23515135507369,988.238843837748,40.0023834380702,456282.584861642,72.44,98.43,0,5.41,0,101958,1.44637969124133e-05,2.71758866950372,2.00002157085085,873.6,-5693.1,-360.8,2816.2,91.2,2999.9,8.03479143043155,-53.8347450234205,153.146926068314,-5.18610334402301,-7.27110895075635,-19.6355016334444,0.0374380714224569,-0.250842731469424,0.713587353936741,-0.0173025933899126,-0.205356840065881,-0.0655106692314586,0.714460638853538,-0.0124304633569255,0.250842731469424,0.713587353936741,0.080427686195321,0.240530813859975,-0.0832191967888224,-0.215908871624081,-0.215908871624081,-0.0711561662495722,0
