AoA,AoS,dPb,pBar,temp,NONE1,NONE2,NONE3,NONE4,NONE5,NONE6,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,J_M1,J_M2,B16zeroed1,B16zeroed2,B16zeroed3,B16zeroed4,B16zeroed5,B16zeroed6,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,rudder,CT_actual,Thrust,Drag_unc,CD_unc,CD_0,epsilon
4,0,106.44,101981,286.23,-40.8,-74.8,331.5,359.5,-185.8,38.1,-40.8,-74.8,331.5,359.5,-185.8,38.1,0,1.24121371132387,250.580472181117,20.0939504612002,230114.195107905,61.52,61.52,2.19,2.22,0,101981,1.43409547262988e-05,1.59285745240793,1.59285745240793,-34.9,-60.9,333.3,360.7,-192.4,28.6,-0.324355760294765,-0.620661218782489,37.8704037844162,-0.192159416539685,-2.14947242763045,-0.186764014407603,-0.00601483278063675,-0.0115095025320662,0.702266381492509,-0.00255149539453192,-0.239417061653842,-0.00245741176204254,0.70013612235804,-0.0549878073522516,0.0128917627624682,0.687289404662954,-0.00651617434635861,0.0114053381973445,-0.00520837938994928,-0.233708346210249,-0.239908346210249,-0.00660471463708759,0,0.269728700618753,4.32047193513666,-3.14840467981711,-0.0126791958735677,-0.00601483278063675,0.0045560938664039
4,5,106.38,101978,286.24,-67.7,-762.6,155.6,549.9,-216.7,418.2,-67.7,-762.6,155.6,549.9,-216.7,418.2,0,1.24113383681985,250.439215683066,20.0889324022566,230035.668826106,61.52,61.52,2.18,2.2,0,101978,1.43422676491964e-05,1.59245966837834,1.59245966837834,-71.1,-755.7,155.7,550.7,-219,408.1,-0.656082033310554,-7.0257705467142,37.997033495124,-0.985266221600167,-2.14292988666495,-2.66594083175103,-0.0121732061292456,-0.130358931870721,0.705012022204012,-0.013089757458098,-0.23882295517139,-0.035097818756107,0.702445488417967,-0.0613227054271048,0.116098609570864,0.690010196530009,0.000561973527044862,0.129738942876731,-0.0389397613042521,-0.239073057977275,-0.237573057977275,-0.0297556106641773,0,0.269728700618753,4.3201939044077,-1.45710637089386,-0.00587134103691788,-0.00601483278063675,0.0045560938664039
4,5,106.42,101977,286.25,198.1,-864.7,98,503.5,14,519.9,198.1,-864.7,98,503.5,14,519.9,0,1.24107830825389,251.126465063507,20.116927327717,230067.511296185,38.89,61.52,0,2.19,0,101977,1.4343299359945e-05,2.5166611268388,1.59091273118922,194.7,-857.8,98.1,504.3,11.7,509.8,1.78916676747995,-7.4004022381408,37.2894334948281,-1.2057706822541,-1.72749334918037,-3.32844968309897,0.0331844313461599,-0.137258384444201,0.691622865033004,-0.016013248803973,-0.191996955317841,-0.0437000031386141,0.692252935408539,-0.0151415764862671,0.122645286448261,0.675143971762039,0.0458419356323625,0.132319300757513,-0.0431832048180546,-0.205062241847399,-0.203562241847399,-0.0386418911427125,0,0.269728700618753,2.16000030905181,1.38867251767956,0.00559348678905262,0.0402398734446128,0.00574441525628736
4,10,106.39,101975,286.25,268.3,-1052.6,4.9,635.9,-8.9,573.9,268.3,-1052.6,4.9,635.9,-8.9,573.9,0,1.24105396789659,251.055669632881,20.1142887759296,230032.823909704,36.46,61.52,0,2.19,0,101975,1.43435806700574e-05,2.68404043144778,1.59070406584177,264.3,-1036.3,6.8,638.4,-17.5,554.5,2.43006801855778,-9.69555922955809,39.2098964228918,0.0243184341268147,-2.77611580427136,-3.62384987425375,0.0450842071660683,-0.17987833984816,0.7274475775122,0.000323052263620858,-0.308629891453875,-0.0475917987906197,0.728820467088222,-0.00576979353762131,0.116634497137724,0.710560619686499,0.0762383832246344,0.167388175362599,-0.02799539124034,-0.342592989845333,-0.324892989845333,-0.03123425773664,0,0.269728700618753,2.15995794655225,3.61470505943341,0.0145639135642976,0.0402398734446128,0.00574441525628736
4,10,106.24,101977,286.25,-2.4,-960.7,59.4,684,-240.3,475.3,-2.4,-960.7,59.4,684,-240.3,475.3,0,1.24107830825389,250.109618495126,20.0761578738098,229872.853516002,61.52,61.52,2.06,2.2,0,101977,1.4343299359945e-05,1.59144702515137,1.59144702515137,-6.4,-944.4,61.3,686.5,-248.9,455.9,-0.0602137650621682,-9.44539962932606,39.8146455846341,0.191536314751496,-3.15312067055468,-2.98167655627666,-0.00111870236481617,-0.175484640282024,0.739710232765905,0.00254800968252447,-0.351868702013279,-0.0393062934778609,0.737830299084455,-0.052715554692277,0.112556666357294,0.724394378226697,0.0305565781969672,0.17144707805288,-0.0251316699471682,-0.372466990188607,-0.354766990188607,-0.0227325321509925,0,0.269728700618753,4.32000061810363,2.3091067844328,0.00931669779589722,-0.00601483278063675,0.0045560938664039
4,-10,422.96,101974,286.69,69.1,5293.3,2954.8,-230.5,-514.8,-2528.9,69.1,5293.3,2954.8,-230.5,-514.8,-2528.9,0,1.23913709789933,1001.6985280604,40.2090521877575,458836.427525691,78.53,123.03,0,16.73,0,101974,1.43829500001047e-05,2.49383607972645,1.59181457645223,55,5261.9,2952.9,-232.4,-509.8,-2507.7,0.479078018384788,53.0103767233228,154.286675797825,4.33656432724601,-7.14656684918897,16.372005090289,0.0022251875485695,0.24621883222155,0.716619792018411,0.0144223936117537,-0.199127327914503,0.0538885863497626,0.715029363459047,-0.0477691026029141,-0.232697000361734,0.700627893320612,0.0242848757633052,-0.239598158363013,0.0737175202861009,-0.161926953666656,-0.201826953666656,0.0514491280659664,0,0.304448846752511,9.73532725616079,5.81845478315146,0.00586904256370615,0.0255734440310872,0.0051903613573404
4,-4.995,422.62,101975,286.87,498.8,2219.5,1951.8,533.9,-133.1,-1016.2,498.8,2219.5,1951.8,533.9,-133.1,-1016.2,0,1.23837173043678,1000.88700446329,40.2051797719547,458285.027838076,80.45,123.03,0,16.85,0,101975,1.43988684412245e-05,2.43408435642103,1.59166127346234,502.85,2204.1,1951.85,532.35,-131.75,-1004.7,4.60687661675421,22.765927539434,149.179502880508,1.0460252328528,-6.56360404319168,6.56864973452225,0.0214150426048757,0.105827298787087,0.69346016308357,0.00348165470269479,-0.183032311576744,0.0216382936090534,0.693264766836681,-0.0270104590213294,-0.0682173159812167,0.677706819190956,0.0283369398252,-0.102494092300957,0.0212031324858039,-0.187473143438913,-0.190973143438913,0.00694941089123779,0,0.304448846752511,9.7293141178795,2.83343961947966,0.00286039192253744,0.0255734440310872,0.0051903613573404
4,0,422.57,101970,286.94,593.5,-610.9,1157.4,1282.8,-58.3,502.7,593.5,-610.9,1157.4,1282.8,-58.3,502.7,0,1.23800892082737,1000.76766366957,40.2086732289225,458103.620997921,80.1,123.03,0,16.83,0,101970,1.44058219476428e-05,2.44493260419366,1.5917995740544,599.4,-597,1159.2,1284,-64.9,493.2,5.50079007405081,-3.45008208520116,148.390954753992,-1.56421104885423,-6.62651719567747,-3.21288320729301,0.0255734440310872,-0.0160396015701023,0.689876858603013,-0.0052070370959522,-0.184808740060745,-0.0105850674560569,0.689980266525647,-0.0226122285670764,0.0173589356256112,0.674160424390804,0.0247637495606074,0.0158743863139096,-0.00855808810552081,-0.187740118176546,-0.193940118176546,-0.0149385890592721,0,0.304448846752511,9.72646369052544,-0.856850870822687,-0.000865104576201806,0.0255734440310872,0.0051903613573404
4,0,422.56,101970,287.05,-580.8,-233,1399.7,1498.9,-1068.7,109.4,-580.8,-233,1399.7,1498.9,-1068.7,109.4,0,1.23753450528551,998.176236841173,40.1642769144055,457873.854345435,123.03,123.03,17.59,17,0,101970,1.44156414512482e-05,1.5941319775093,1.5941319775093,-574.9,-219.1,1401.5,1500.1,-1075.3,99.9,-5.3022852827782,-2.27203633113935,151.669852412577,-0.715652745028725,-8.34363763091997,-0.65151770524993,-0.0246511734039285,-0.0105630607543612,0.705137432743278,-0.0023823634737369,-0.23330210038647,-0.00215204303266459,0.701700174466886,-0.0737790251976365,0.0119695152846876,0.691036766355963,-0.0250256348388928,0.0104811473412086,-0.00479524564211902,-0.221977422173351,-0.228177422173351,-0.00627692458321663,0,0.304448846752511,19.4454728539235,-18.0126945684218,-0.0181866374755674,-0.0246511734039285,0.00390004968816449
4,5,422.19,101968,287.14,-687,-2924.9,714.5,2232.3,-1176.4,1592.9,-687,-2924.9,714.5,2232.3,-1176.4,1592.9,0,1.23712235256296,997.295388341965,40.1532383041187,457484.011291844,123.03,123.03,17.64,17.04,0,101968,1.4423960357818e-05,1.59369385181658,1.59369385181658,-690.4,-2918,714.6,2233.1,-1178.7,1582.8,-6.35981208051037,-27.0443405926361,152.032407415284,-3.80515898109653,-8.56127998300228,-10.343429187673,-0.0295939002130228,-0.125844522871696,0.707447301466885,-0.0126783256511392,-0.239599181724664,-0.0341957938561056,0.703659629273493,-0.0788708400696152,0.111770997900484,0.693328722730537,-0.0170566332396746,0.126952749757799,-0.0373266714493637,-0.234630594930125,-0.233130594930125,-0.0287372594577899,0,0.304448846752511,19.4389966671636,-9.96407378105865,-0.0100691793239544,-0.0246511734039285,0.00390004968816449
